COUNTY,YEAR,MACHINE,LIVESTOCK,AGOUT3,TOTPOP,FARMS,FORATIO,SLAVES,FORPOP,AMEN,POPGROWTH,WHEATRAT,RYERAT,CORNRAT,OATRAT,TOBACCORAT,COTTONRAT,WOOLRAT,IRPOTATORAT,SWPOTATORAT,BARLEYRAT,BUCKWHEATRAT,BUTTERRAT,HAYRAT,DIDRAT,CSA,LAGOUT3,LMACHINE,LLIVESTOCK,LFARMS
Adams,1860,69645,302950,452715,9252,997,0.151859058,0,1405,0,-0.300242724,0.233482434,0.007220878,0.162318456,0.037202213,0.008232552,0,0.013085495,0.040486841,0.000214263,0.000678131,0.011095281,0.086791911,0.210611533,0,0,13.02301807,11.15116619,12.62132305,6.90475077
Adams,1860,12049,62247,93163,1533,124,0.075016308,0,115,0,0.686042355,0.063641145,0.001073388,0.417708747,0.012805513,1.07E-05,0,0.005742623,0.028841922,0,0,0.004647768,0.059959426,0.257269517,0,0,11.44210593,9.396736948,11.03886562,4.820281566
Adams,1860,81595,787100,1867807,20165,214,0.061591867,0.708752789,1242,0,-0.54588076,0,7.12E-05,0.099129621,0.000261269,0,0.765509499,0.001457324,0.003714517,0.020417527,0,0,0.002875565,0.005806274,0,1,14.44027557,11.30952326,13.57611058,5.365976015
Adams,1860,146653,747012,1226980,20309,1880,0.02969127,0,603,0,-0.470725912,0.291947709,0.000355344,0.381248268,0.033668845,0.003158161,0,0.012515281,0.01191136,0.00222905,0.001467017,0.000578657,0.040878417,0.060608975,0,0,14.02006642,11.89582453,13.52383653,7.539027056
Adams,1860,394523,100499,2184750,28006,2163,0.035028208,0,981,0,-0.356759329,0.2078636,0.016867834,0.163964756,0.082445131,1.37E-05,0,0.001249571,0.012830759,0.001760842,0.000303925,0.001043598,0.059290994,0.316384483,0,0,14.59701196,12.88543272,11.51790306,7.679251426
Adams,1860,43211,125442,218028,6492,768,0.169593346,0,1101,0,-0.356674944,0.32890271,0.027771662,0.094662153,0.054538867,4.59E-06,0,0.002985855,0.058804374,0,0.000394445,0.000472416,0.085053296,0.213889959,0,0,12.29237877,10.67385037,11.73959878,6.643789733
Adams,1870,104680.8125,358872.9375,427860.8125,11382,1553,0.116060446,0,1321,1,-0.300242724,0.418889309,0.013700741,0.116877635,0.089140461,0,0,0.032665889,0.033920592,0,0.002258795,0.00178452,0.202407981,0.419051231,0,0,12.96655322,11.55867112,12.79072367,7.347943823
Adams,1870,46734.1875,242209,246267.3125,4614,526,0.060034677,0,277,1,0.686042355,0.256829213,0.005210476,0.534767358,0.07041377,0.000257992,0,0.015239172,0.07279597,0.000290924,0.003106381,0.000427194,0.119230306,0.498159901,0,0,12.41417286,10.75223124,12.39755627,6.265301213
Adams,1870,83072,502640.1875,1282899.063,19084,1193,0.035422343,0.708752789,676,1,-0.54588076,0.000312106,0,0.071868195,2.01E-05,0,0.609742125,0.00057728,0.001260483,0.016608902,0,0,0.003277214,0.035412607,0.708752789,1,14.06463297,11.32746298,13.12762986,7.084226422
Adams,1870,115089.5625,628337.1875,1050572.188,20750,2193,0.026072289,0,541,1,-0.470725912,0.161039938,0.001626747,0.382560556,0.063880798,0.009461397,0,0.011032251,0.026648084,0.003471108,0.003540547,0.00017752,0.157635035,0.132812577,0,0,13.86484551,11.65346591,13.35083222,7.693025748
Adams,1870,470034.125,1184294.375,2219415.688,30315,3070,0.02285997,0,693,1,-0.356759329,0.231646484,0.012123518,0.177366449,0.123382042,4.04E-05,0,0.00269841,0.320694554,0.005802604,9.77E-05,0.000774227,0.164288566,0.376547645,0,0,14.61275452,13.06056058,13.98465769,8.029432841
Adams,1870,61245.25,225440.875,350641.5,6601,1016,0.189365248,0,1250,1,-0.356674944,0.366163617,0.139356879,0.169536122,0.108935565,0,0,0.018150436,0.129918575,0.000303045,0.006293037,0.057813165,0.301558515,0.423269778,0,0,12.76751961,11.02264157,12.32581321,6.923628628
Addison,1860,286923,1711862,2204149,24010,2418,0.128446481,0,3084,0,-0.360985295,0.025369882,0.005876191,0.053402923,0.058962892,0,0,0.106514124,0.0623574,0,0.000911917,0.003346416,0.083293371,0.427122214,0,0,14.60585205,12.56696917,14.35309222,7.790696031
Addison,1870,300056.625,1584288.063,2100840.5,23484,2824,0.129407256,0,3039,1,-0.360985295,0.028576182,0.005058359,0.03570649,0.068454402,0,0,0.052389109,0.106846019,3.45E-05,0.002920403,0.010702463,0.312555616,0.786164442,0,0,14.55784806,12.61172649,14.27564569,7.945909599
Aitkin,1870,17.1875,226.875,275,178,2,0,0,0,1,2.833213344,0,0,0.071854545,0,0,0,0,1.1328,0,0,0,0,0,0,0,5.616771098,2.844182375,5.424399205,0.693147181
Alachua,1860,87924,330938,360406,8232,300,0.008260447,0.541423712,68,0,-0.00809721,0,0.000252493,0.166992225,0.000912859,0.002014395,0.494642154,0.002061564,0.001218071,0.076533132,2.77E-06,0,0.007566467,0.019469709,0,1,12.79498645,11.38422808,12.70968633,5.703782475
Alachua,1870,32593,271486.875,429427.625,17328,1119,0.005771006,0.541423712,100,1,-0.00809721,0,0,0.204135912,0.008461263,0,0.223763341,0.004026141,0.001013954,0.034237481,0,0,0,0,0.541423712,1,12.9702085,10.39185282,12.51166907,7.020190708
Alamance,1860,95994,339720,540083,11852,883,0.00278434,0.290668242,33,0,-0.507586755,0.264809298,0.002258912,0.225944901,0.037077634,0.092526519,0.005154763,0.003927174,0.008070982,0.025025783,1.67E-05,1.11E-05,0.010509496,0.035244583,0,1,13.19947811,11.47204097,12.73587703,6.783325201
Alamance,1870,51812.0625,196863.5625,556816.5625,11874,1449,0.004379316,0.290668242,52,1,-0.507586755,0.16115785,0.003242747,0.166017763,0.051179907,0.027101008,0.000209261,0.003871728,0.017094233,0.016554922,0.000294621,5.44E-05,0.057687487,0.048710207,0.290668242,1,13.22999113,10.85537827,12.19026619,7.278628942
Alameda,1860,173254,1645399,1837265,8927,658,0.407191666,0,3635,0,0.63600089,0.380316938,0.002560872,0.004243808,0.046368923,0,0,0.027895813,0.030053367,0.000262891,0.26139343,0.002792194,0.003659243,0.065797803,0,0,14.42378861,12.062514,14.31349347,6.489204931
Alameda,1870,138479.6875,769611.5625,1588167.625,24237,961,0.406609729,0,9855,1,0.63600089,0.559817179,2.33E-05,0.008934674,0.018703567,0,0,0.019426444,0.050844459,0.001117656,0.358040764,0.00033623,0.047718332,0.213488044,0,0,14.27809147,11.83847893,13.5536412,6.867974409
Albany,1860,671060,1551840,2946022,113917,3194,0.300991072,0,34288,0,-0.195115782,0.013628208,0.057654695,0.060599683,0.108941481,5.60E-05,0,0.009121792,0.085236634,0.000109639,0.002272895,0.026649835,0.07607377,0.253900344,0,0,14.89596634,13.41661383,14.25495188,8.069029329
Albany,1870,695844.875,1708834.875,2821871.25,133052,3209,0.29547846,0,39314,1,-0.195115782,0.005476281,0.036952669,0.030469852,0.119489073,8.59E-07,0,0.010828383,0.15983616,0,0.011206837,0.045357639,0.154294893,0.592236357,0,0,14.85291079,13.45288203,14.35132234,8.073714641
Albemarle,1860,188079,899680,1627516,26625,935,0.008600939,0.522666667,229,0,-0.467641168,0.189462346,0.003541593,0.206244977,0.044972215,0.300240366,0,0.004451569,0.005415615,0.003579074,0,5.84E-05,0.010542446,0.035674611,0,1,14.30256548,12.14461737,13.70979442,6.840546529
Albemarle,1870,80339.875,357172.0625,779045.4375,27544,824,0.007587859,0.522666667,209,1,-0.467641168,0.291750377,0.002905684,0.256881705,0.099606809,0.221831789,0,0.004829287,0.009210734,0.002677321,7.64E-06,0,0.025575395,0.092834444,0.522666667,1,13.56582465,11.29402135,12.78597291,6.71417053
Alexander,1860,21890,79846,82722,4707,230,0.21882303,0,1030,0,0.285660849,0.166388627,0,0.811041803,0,0,0,0.004823384,0.01285027,0.004895916,0,0,0,0,0,0,11.32324087,9.993785191,11.28785506,5.438079309
Alexander,1860,34002,224057,260786,6022,763,0.000498173,0.101461309,3,0,-0.529382026,0.143972453,0.00258066,0.368976862,0.016461773,0.004095312,0,0.004674331,0.011150905,0.031592954,0,0,0.016814553,0.015886589,0,1,12.47145543,10.43417463,12.31965576,6.637258031
Alexander,1870,15367.6875,82532.3125,184903.125,10564,192,0.13262022,0,1401,1,0.285660849,0.239932776,0.000130609,0.686815866,0.050294499,0,0,0.004321063,0.050811256,0.003678818,0,0,0,0.020631344,0,0,12.12758732,9.64002237,11.32094516,5.257495372
Alexander,1870,15678.4375,114835.1875,200934.25,6868,1032,0,0.101461309,0,1,-0.529382026,0.104251416,0.026834101,0.355079535,0.081031233,0.009413044,0.000193297,0.012918883,0.039107778,0.05040308,0,0.000317318,0.115583167,0.018841487,0.101461309,1,12.21073302,9.66004164,11.65125323,6.939253946
Alexandria,1860,19990,44445,89674,12652,138,0.098482453,0.109547898,1246,0,-0.050888801,0.062615697,0.039576689,0.17612686,0.064366483,0,0,0.000847514,0.060229275,0.00140509,3.35E-05,0.004750541,0.009601445,0.177297767,0,1,11.40393615,9.902987427,10.70200775,4.927253685
Alexandria,1870,10724.3125,26696.3125,66704,16755,86,0.058669054,0.109547898,983,1,-0.050888801,0.049284001,0.018983344,0.169001559,0.035629198,9.45E-05,0,9.65E-05,0.07366155,0.008882226,0.000216629,0.000979761,0.021733404,0.243490645,0.109547898,1,11.1080202,9.280268639,10.19228073,4.454347296
Allamakee,1860,76087,291468,620526,12237,1180,0.322137779,0,3942,0,-0.032411912,0.281701331,0.00119576,0.132070211,0.067336421,8.06E-05,0,0.002130451,0.056473057,0.00070263,0.005250384,0.000531807,0.057717163,0.243786723,0,0,13.33832278,11.2396327,12.5826855,7.073269717
Allamakee,1870,201170.75,691075.6875,1204671.188,17868,1783,0.341560331,0,6103,1,-0.032411912,0.583118387,0.001603089,0.242077077,0.118160915,0,0,0.003569002,0.043203902,0,0.017974116,0.00165067,0.124803809,0.226381151,0,0,14.00171721,12.21190933,13.44600463,7.486052618
Allegan,1860,143070,497967,673075,16087,1823,0.176664387,0,2842,0,0.33658923,0.197706051,0.009306541,0.118110166,0.017072392,8.77E-05,0,0.012774208,0.076976563,0,0.002604465,0.008505739,0.09283958,0.248580025,0,0,13.41961204,11.8710893,13.11828909,7.508238775
Allegan,1870,218911,797422.3125,1293019.063,32105,2441,0.17399159,0,5586,1,0.33658923,0.272055324,0.002350217,0.151603705,0.068246612,2.63E-05,0,0.022186452,0.146632687,0,0.013787152,0.006610133,0.140276946,0.306798145,0,0,14.0724904,12.29642053,13.5891397,7.80016307
Allegany,1860,100395,513281,840868,28348,1255,0.213172005,0.023493721,6043,0,-0.072389275,0.127263732,0.061827778,0.141753521,0.061748098,9.51E-05,0,0.01008006,0.093020545,1.55E-05,0.002204864,0.036795312,0.098079603,0.208646304,0,0,13.64218997,11.51686768,13.14857873,7.134890852
Allegany,1860,435509,1840143,2094269,41881,4448,0.076788997,0,3216,0,-0.382094858,0.102779538,0.004136527,0.028841567,0.129076542,0,0,0.031145474,0.102065685,1.96E-05,0.011941159,0.028564621,0.135205172,0.205422513,0,0,14.55471512,12.98427074,14.42535384,8.400209836
Allegany,1870,88682.6875,570464.8125,784724.875,38536,1375,0.206793647,0.023493721,7969,1,-0.072389275,0.093306791,0.046255001,0.076908789,0.113203076,0,0,0.013560893,0.061687969,0.000102584,0,0.04039109,0.16393065,0.317882557,0.023493721,0,13.57308846,11.39281997,13.25420677,7.22620901
Allegany,1870,492008,2472982.875,2969986.938,40814,5084,0.086881952,0,3546,1,-0.382094858,0.068535601,0.004454353,0.02378529,0.115912294,1.96E-07,0,0.030659157,0.091703567,0,0.008459397,0.025910396,0.244857205,0.655833406,0,0,14.90406811,13.10625026,14.72093562,8.533853632
Alleghany,1860,19026,157644,168038,3590,347,0.002228412,0.057381616,8,0,-0.56928565,0.090390269,0.077833585,0.199823849,0.0822314,0.000595103,0,0.013407682,0.011943727,0.00092241,0,0.014633595,0.020781014,0.169741368,0,1,12.03194542,9.853561744,11.96809461,5.84932478
Alleghany,1860,27752,161153,177121,6765,253,0.210495196,0.146341463,1424,0,-1.233982307,0.124717001,0.015119607,0.299919264,0.104854873,0.044890216,0,0.004160997,0.02191722,0.000756545,0,0.005572462,0.020968716,0.059795281,0,1,12.08458839,10.23106319,11.9901095,5.533389489
Alleghany,1870,18298.5,123211.6875,642378,3691,655,0.001083717,0.057381616,4,1,-0.56928565,0.012932448,0.026318787,0.035106869,0.01438916,0.000121103,0,0.004904281,0.009675817,9.77E-05,0,0.003029796,0.038982664,0.069238206,0.057381616,1,13.37293219,9.814574368,11.72165919,6.484635236
Alleghany,1870,15215.75,76482.3125,121869.6875,3674,230,0.029395754,0.146341463,108,1,-1.233982307,0.212002841,0.031600311,0.216308095,0.11287573,0.020492865,0,0.007725481,0.025480397,3.30E-05,0,0.003485699,0.127208745,0.144535941,0.146341463,1,11.71070762,9.630086355,11.24481478,5.438079309
Allegheny,1860,532809,1792173,2675955,178831,4535,0.300434488,0,53727,0,0.022591381,0.059722977,0.009164205,0.118435101,0.126684492,1.23E-05,0,0.010034922,0.122953488,0.001077746,0.011989738,0.02509235,0.07782231,0.217277196,0,0,14.79981688,13.18591829,14.39893941,8.419580363
Allegheny,1870,644497.5625,2072966.5,3047717.063,262204,4881,0.289457827,0,75897,1,0.022591381,0.111015633,0.020700563,0.115153839,0.156788068,0,0,0.022469753,0.178676019,0.000227154,0.019507749,0.001152201,0.152982201,0.306901356,0,0,14.92990336,13.37622632,14.54449123,8.493105396
Allen,1860,107248,612836,1072556,29328,2498,0.233292417,0,6842,0,-0.044447485,0.20874621,0.004911632,0.182434297,0.038172366,0.000336579,0,0.010530919,0.06938006,0.000324459,0.001003211,0.00697586,0.072097867,0.166001589,0,0,13.88555514,11.58289919,13.32585264,7.823245691
Allen,1860,57391,468434,484462,9187,850,0.001197344,0.16566888,11,0,-0.411206751,0.063053449,0.000563512,0.427494829,0.022534275,0.181591126,0,0.005952995,0.007290561,0.013565563,0,1.44E-05,0.015235457,0.00741441,0,1,13.09079428,10.95764278,13.0571505,6.745236349
Allen,1860,138067,607157,1004565,19185,1804,0.083085744,0,1594,0,-0.257039961,0.181515382,0.003285004,0.330340993,0.047946126,0.00042506,0,0.020022597,0.036527253,0.000821251,0.002209912,0.013049429,0.061004514,0.111442266,0,0,13.82006517,11.83549435,13.31654269,7.497761701
Allen,1870,275727.375,881535.1875,1358859.563,43494,4916,0.201384099,0,8759,1,-0.044447485,0.331205735,0.010521768,0.104601597,0.067384388,1.82E-05,0,0.017444566,0.052587068,0.000620844,0.002649096,0.001549003,0.152337804,0.301758667,0,0,14.12215635,12.52716788,13.6894202,8.500250471
Allen,1870,57919.8125,431980.3125,624406.0625,10296,1464,0.000874126,0.16566888,9,1,-0.411206751,0.093012806,0.000194673,0.325524001,0.066556385,0.116120642,0,0.00853682,0.00181307,0.001571565,0,0,0.081451078,0.017796192,0.16566888,1,13.34455618,10.96681479,12.97613529,7.288927695
Allen,1870,178082.4375,721210.875,1076561.75,23623,2153,0.087457139,0,2066,1,-0.257039961,0.304460529,0.016204509,0.180657394,0.083586167,4.67E-05,0,0.025961478,0.034792932,0.001556817,0.002356809,0.000547096,0.165090058,0.284191641,0,0,13.88928296,12.09000185,13.48868685,7.674617497
Amador,1860,51907,788351,369126,10930,392,0.500457457,0,5470,0,-0.463830849,0.116318005,0.000457838,0.033273191,0.000468675,0,0,0.010069732,0.014886516,0.00036302,0.065332705,0.002719938,0.009614603,0.136671489,0,0,12.81889333,10.85720893,13.5776987,5.97126184
Amador,1870,31635.3125,192903.5625,250238.3125,9582,246,0.431329576,0,4133,1,-0.463830849,0.069314406,0.000997249,0.076387983,0.000223387,0,0,0.064771137,0.028004441,0.003409949,0.176003225,0,0.066535375,0.341157192,0,0,12.43016899,10.36202926,12.16994567,5.505331536
Amelia,1860,68957,372640,774748,10741,397,0.002420631,0.712689694,26,0,-0.537160796,0.163516395,0,0.168391529,0.04421954,0.489182289,0,0.002806074,0.003451445,0.005834155,0,0,0.006400791,0.00365151,0,1,13.56029309,11.1412384,12.82836809,5.983936281
Amelia,1870,26438.5,109577.1875,269405.125,9878,629,0.020753189,0.712689694,205,1,-0.537160796,0.249182194,0.000173308,0.136094961,0.100056894,0.373634084,0,0.002602311,0.013153202,0.010697272,0,0,0.067547724,0.070585888,0.712689694,1,12.50397157,10.18257656,11.60438449,6.444131257
Amherst,1860,81618,370824,734910,13742,666,0.003201863,0.45684762,44,0,-0.429611559,0.144497966,0.002247894,0.196421331,0.055538773,0.348680791,0,0.001843763,0.013862922,0.007576438,2.99E-05,0.000496659,0.012737614,0.022289804,0,1,13.50750332,11.3098051,12.82348284,6.501289671
Amherst,1870,28588.3125,176838.0625,430672.6875,14900,1098,0.007651007,0.45684762,114,1,-0.429611559,0.181268983,0.004218714,0.19397701,0.117424303,0.289525411,0,0.001714978,0.025995621,0.007306581,0.000197366,7.40E-05,0.097112063,0.038383674,0.45684762,1,12.97310365,10.26075326,12.08298969,7.001245622
Amite,1860,137685,645834,1310208,12336,589,0.009727626,0.640402075,120,0,-0.748821935,0,0.000722786,0.144051937,0,0,0.63950762,0.002091271,0.002876642,0.05782517,0,0,0.004490127,0.001771474,0,1,14.08569646,11.83272375,13.37829778,6.378426184
Amite,1870,21463.75,361615.375,828159.0625,10973,1437,0.004283241,0.640402075,47,1,-0.748821935,0,1.94E-06,0.159978543,9.87E-05,6.68E-05,0.388137804,0.001110055,0.002815213,0.05220025,0,1.92E-05,0.007867887,0,0.640402075,1,13.62696052,9.974120745,12.79833643,7.270312886
Anderson,1860,52116,491019,469102,7404,565,0.009454349,0.183279308,70,0,-0.796803587,0.120997139,0.045000874,0.500599017,0.026719136,0.006975029,0,0.007279867,0.007392848,0.002862917,0.0005777,0.000151353,0.020445447,0.021792702,0,1,13.05857551,10.86122728,13.1042381,6.336825731
Anderson,1860,158400,739575,1092253,22873,1442,0.005202641,0.368338215,119,0,-0.535622863,0.088776135,0.001770652,0.244132083,0.008953054,0.000483404,0.22016877,0.002731052,0.003421368,0.046989113,0.000219729,0,0.017538977,0.03924274,0,1,13.90375309,11.97287876,13.51383098,7.273786318
Anderson,1860,82056,334939,381529,7068,599,0.003395586,0.082484437,24,0,-0.345996527,0.106893578,0.000851836,0.413124559,0.021096693,0.00220691,0.062904786,0.005071698,0.008649408,0.020847694,1.57E-05,1.57E-05,0.015146948,0.017933106,0,1,12.85194214,11.31515722,12.7217037,6.395261598
Anderson,1860,131412,625221,748634,10398,772,0.004135411,0.352760146,43,0,-0.63801726,0.010977327,0.004589693,0.23164724,0.005160065,5.34E-06,0.48196582,0.001956897,0.001606927,0.024932076,0.000474197,8.01E-06,0.015844859,0.012883465,0,1,13.52600549,11.78609271,13.34586047,6.64898455
Anderson,1870,41822,319351.3125,376920.5,5449,709,0.006790237,0.183279308,37,1,-0.796803587,0.097510218,0.041730007,0.415208937,0.037651759,0.003902693,0,0.010852023,0.004207572,0.000435689,0.000338268,0,0.113556893,0.040752228,0.183279308,1,12.83978957,10.6411778,12.67404707,6.563855527
Anderson,1870,64996.9375,419036.0625,1085459.375,24049,1371,0.003492869,0.368338215,84,1,-0.535622863,0.073937138,0.000328538,0.19626507,0.013553331,0.000365227,0.188714718,0.003149021,0.000598773,0.009807944,0.000351602,0,0.057158106,0.000186373,0.368338215,1,13.89751384,11.08209543,12.94571226,7.22329568
Anderson,1870,41302.25,232153.625,236838.25,8704,1034,0.009076287,0.082484437,79,1,-0.345996527,0.100698599,0.000985694,0.576702792,0.133338386,0.00638016,0,0.012076799,0.032638073,0.03760252,0,1.35E-05,0.124937522,0.074251731,0.082484437,1,12.3751327,10.62867226,12.35515461,6.941190055
Anderson,1870,15338.8125,163252.375,294241.75,9229,551,0.00422581,0.352760146,39,1,-0.63801726,0.000123708,0.000396698,0.31330768,0.00368707,0.000293398,0.530113215,0.001428234,0.004129013,0.060560678,0,0,0.063941167,0,0.352760146,1,12.59215699,9.63814166,12.0030526,6.311734809
Andrew,1860,105647,593172,853362,11850,947,0.051139241,0.074261603,606,0,-0.211016747,0.05372632,0.004742419,0.547098418,0.02211371,0.003427619,0,0.009448511,0.01530183,0.000917547,0.008037621,0.002230003,0.046821865,0.083728828,0,1,13.65693912,11.56785863,13.29323969,6.853299093
Andrew,1870,143106.5625,715734.25,1016861.313,15137,1471,0.057871441,0.074261603,876,1,-0.211016747,0.109767181,0.004735661,0.555547736,0.075411228,0.000566721,0,0.006947998,0.071691818,0.001210435,0.00645737,0.000849622,0.070314016,0.120163093,0.074261603,1,13.8322313,11.87134482,13.48106422,7.293697721
Androscoggin,1860,180428,822209,1285569,29726,2777,0.045885757,0,1364,0,-0.190427816,0.006911337,0.007207703,0.087569006,0.049469923,0,0,0.012636428,0.146109621,1.56E-06,0.010196263,0.000779421,0.068901786,0.404029655,0,0,14.06671198,12.10308709,13.6197499,7.929126487
Androscoggin,1870,136573.9375,827616.625,1091123.688,35866,3023,0.10121006,0,3630,1,-0.190427816,0.007434538,0.002793941,0.034477191,0.037995317,0,0,0.009889172,0.240985354,0,0.01589499,0.001525158,0.195266729,0.672583831,0,0,13.90271863,11.82462141,13.62630531,8.014004995
Angelina,1860,34038,268595,335173,4271,559,0.003980332,0.160618122,17,0,-0.659903122,0.026568369,0.004526021,0.20506425,0.005456883,0.000241666,0.439080714,0.002371909,0.000277469,0.064038571,0,0,0.013166335,0,0,1,12.7224021,10.43523283,12.50095995,6.326149473
Angelina,1870,18400.9375,127069.25,184930.625,3985,456,0.002258469,0.160618122,9,1,-0.659903122,0,0,0.243620006,0.001146322,0.001299763,0.347380862,0.002875078,0.008908833,0.100963104,0,0,0.10769863,0,0.160618122,1,12.12773603,9.820156893,11.75248749,6.12249281
Anne Arundel,1860,189834,616267,1437511,23900,1035,0.031129707,0.306778243,744,0,-0.450399764,0.187890736,0.004025708,0.324435778,0.017080217,0.168065497,0,0.004245533,0.017108043,0.000237216,0,0,0.012720598,0.0176423,0,0,14.1784237,12.15390529,13.33143559,6.942156706
Anne Arundel,1870,140911.375,549576.5,1263217.313,24457,1228,0.03659484,0.306778243,895,1,-0.450399764,0.104106426,0.005586873,0.230670271,0.022428318,0.231973258,0,0.003782138,0.026704887,0.01299504,4.04E-05,6.31E-05,0.043019353,0.025245973,0.306778243,0,14.04917245,11.85588643,13.21690326,7.113142109
Anoka,1860,9396,44062,91477,2106,201,0.265432099,0,559,0,0.177996558,0.071843196,0.001410191,0.167867333,0.028181947,2.19E-05,0,0.000491927,0.182253463,0,0.001224351,0.006854182,0.080195022,0.366507428,0,0,11.42384285,9.148039346,10.69335301,5.303304908
Anoka,1870,12600.5,95524,84710.3125,3940,338,0.272081218,0,1072,1,0.177996558,0.336307578,0.040330627,0.226132562,0.089923526,0,0,0.013748173,0.132656529,0,0.004826449,0.006821188,0.230461197,1.350833761,0,0,11.34699263,9.441491775,11.4671328,5.823045895
Anson,1860,74104,621075,885041,13664,745,0.004610656,0.508709016,63,0,-0.660632744,0.065041055,0.000361565,0.157963303,0.015928076,0,0.508613725,0.002133235,0.002166001,0.034936235,0,0,0.004832544,0.012906747,0,1,13.69338925,11.21322479,13.33920713,6.613384218
Anson,1870,31299.8125,154868.3125,757670.375,12428,1017,0.001770196,0.508709016,22,1,-0.660632744,0.054806313,0.00039205,0.102759092,0.026589307,7.41E-05,0.220992196,0.001915656,0.003349045,0.027166226,0,0,0.037628301,0.023782308,0.508709016,1,13.53800371,10.35136739,11.95033044,6.924612396
Antrim,1870,5061.375,36175.5625,69152.1875,1985,386,0.351133501,0,697,1,1.954799096,0.129277761,0.00387645,0.07974585,0.026551582,0,0,0.000138043,0.461726305,0,0.003798144,0.006811455,0.126279736,0.104479703,0,0,11.14406497,8.529393464,10.4961391,5.955837369
Appanoose,1860,106549,504890,793722,11931,1371,0.015086749,0,180,0,-0.156485837,0.032855332,0.00167187,0.427585477,0.01671744,0.001651712,0,0.011060548,0.015003994,0.001106181,0,0.010323514,0.076958935,0.182091463,0,0,13.58448855,11.57636025,13.13209586,7.22329568
Appanoose,1870,172739.875,863070.3125,1149926.25,16456,2121,0.020964998,0,345,1,-0.156485837,0.121562091,0.002630769,0.445998689,0.12050345,0.001035436,0,0.016174992,0.035550036,0.00093736,0.000819748,0.001329343,0.160410293,0.284733521,0,0,13.95520837,12.05954213,13.66825144,7.659642955
